name,soq_2011,incentive_2011,catergorical_2011,lottery_2011,total_2011,soq_2012,incentive_2012,catergorical_2012,lottery_2012,total_2012,soq_2013,incentive_2013,catergorical_2013,lottery_2013,total_2013,soq_2014,incentive_2014,catergorical_2014,lottery_2014,total_2014
Frederick County,4245.45,85.86,61.89,239.36,4653.33,4584.05,85.86,48.62,323.62,5049.71,4589.79,152.32,45.53,325.23,5125.01,4795.52,40.82,56.07,353.58,5261.44
Fredericksburg City,2108.96,43.5,24.48,224.14,2404.14,2736.83,130.3,32.72,318.59,3224.61,2742.31,56.89,16.66,349.22,3169.28,3332.88,8.56,7.6,374.76,3737.76
Galax City,4298.34,148.51,20.19,673.59,5143.88,4858.15,140.09,9.71,740.49,5782.29,4796.26,239.25,11.08,786.43,5882.06,5042.48,124.46,10.32,871.32,6223.82
Giles County,5323.9,143.48,11.45,321.14,5812.1,5492.98,172.51,8.24,350.67,6061.76,5449.99,192.89,11.36,390.79,6087.68,5731.36,103.46,10.01,413.2,6297.51
Gloucester County,4189.61,95.93,7.84,230.38,4544.01,4235.03,106.48,8.98,284.98,4676.19,4226.58,219.37,8.99,317.55,4847.03,4544.78,153.2,9.8,359.18,5234.01
Goochland County,2219.94,89.83,6.62,45.69,2364.17,2424.96,72.99,4.88,58.67,2570.62,2358.21,317.88,4.39,87.04,2801.33,2485.22,0.31,5.4,63.65,2559.62
Grayson County,5306.85,50.18,23.82,573.9,5971.12,5523.19,223.86,17.6,507.55,6319.96,5523.33,558.17,21.3,548.31,6681.05,5797.81,155.78,17.08,562.23,6552.41
Greene County,4649.1,106.74,9.74,434.59,5203.48,4504.09,110.96,10.58,512.88,5141.3,4453.54,103.33,5.96,553.74,5119.79,4865.14,68.43,5.01,593.56,5535.28
Greensville County,5090.2,63.54,25.53,823.28,6009.38,5367.4,180.03,28.04,794.83,6401.21,5267.36,128.32,50.25,856.3,6303.41,5617.15,34.62,43.41,912.3,6608.89
Halifax County,5012.33,51.46,31.81,571.61,5672.45,5184.4,148.08,33.19,576.12,5942.7,5186.15,180.77,18.47,613.78,6053.13,5521.66,51.65,21.54,624.79,6259.8
Hampton City,4724.26,111.91,10.52,593.62,5455.72,5014.81,119.8,9.94,601.73,5763.54,5013.65,202.41,12.1,621.88,5869.75,5040.96,90.03,11.44,696.11,5863.2
